formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
4	C44H68O6	[M + Na]+	C44H68NaO6+	Terpenoids	0.971	Triterpenoids	0.566	Oleanane triterpenoids	0.109	Lipids and lipid-like molecules	0.958	Prenol lipids	0.788	Triterpenoids	0.623			Triterpenoids	0.623	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid esters; Cyclic alcohols and derivatives; Triterpenoids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	715.496	500	8.339	703064052802470577	703045730190297131	2775	
2	C33H54O5	[M + Na]+	C33H54NaO5+	Terpenoids	1.000	Carotenoids (C40)	0.987	Carotenoids (C40, β-β)	0.306	Lipids and lipid-like molecules	0.977	Prenol lipids	0.990	Tetraterpenoids	0.841	Carotenoids	0.768	Xanthophylls	0.785	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organooxygen compounds; Dialkyl ethers; Carotenoids; Xanthophylls; Tetraterpenoids; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	553.382	501	8.346	703064067885188269	703045730228045872	2776	
1	C24H38O4	[M + Na]+	C24H38NaO4+	Shikimates and Phenylpropanoids	0.269	Phenolic acids (C6-C1)	0.121	Simple phenolic acids	0.088	Benzenoids	0.999	Benzene and substituted derivatives	0.996	Benzoic acids and derivatives	0.996	Benzoic acid esters	0.989	Benzoic acid esters	0.989	Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	413.266	501	8.348	703064066878555202	703045730345486394	2778	
2	C43H76N2O10	[M + Na]+	C43H76N2NaO10+	Terpenoids	0.505	Steroids	0.651	Cholane steroids	0.730	Lipids and lipid-like molecules	0.985	Steroids and steroid derivatives	0.920	Bile acids, alcohols and derivatives	0.946	Glycinated bile acids and derivatives	0.882	Glycinated bile acids and derivatives	0.882	Organic compounds; Lipids and lipid-like molecules; Alpha amino acids and derivatives; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Glycinated bile acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Hydroxysteroids; Bile acids, alcohols and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; N-acyl-alpha amino acids; 3-hydroxysteroids; 7-hydroxysteroids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	803.542	501	8.348	703064074331833931	703045730400012351	2779	
1	C47H84O15	[M + H]+	C47H85O15+	Polyketides	0.991	Polyethers	0.808	Open-chain polyketides	0.686	Lipids and lipid-like molecules	0.719	Fatty Acyls	0.642					Fatty Acyls	0.642	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	889.585	501	8.351	703064089766873546	703045730269988917	2777	
1	C24H38O4	[M + H]+	C24H39O4+	Shikimates and Phenylpropanoids	0.194	Phenolic acids (C6-C1)	0.095	Simple phenolic acids	0.074	Benzenoids	0.999	Benzene and substituted derivatives	0.994	Benzoic acids and derivatives	0.995	Benzoic acid esters	0.983	Benzoic acid esters	0.983	Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	391.284	501	8.352	703064077032966042	703045730446149700	2780	
7	C46H76N4O10	[M + H]+	C46H77N4O10+	Amino acids and Peptides	0.899	Oligopeptides	0.984	Cyclic peptides	0.285	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.987	Amino acids, peptides, and analogues	0.965	Peptides	0.634	Peptides	0.634	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	845.558	502	8.374	703064085971028193	703045730483898441	2781	
1	C22H43NO	[M + H]+	C22H44NO+	Fatty acids	1.000	Fatty amides	1.000	Primary amides	1.000	Lipids and lipid-like molecules	0.954	Fatty Acyls	0.963	Fatty amides	0.949			Fatty amides	0.949	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	338.342	504	8.402	703064090677037625	703045730601338963	2783	
2	C48H74O8	[M + Na]+	C48H74NaO8+	Fatty acids	0.540	Glycerolipids	0.863	Triacylglycerols	0.744	Lipids and lipid-like molecules	0.921	Glycerolipids	0.583	Triradylcglycerols	0.735	Triacylglycerols	0.781	Triacylglycerols	0.781	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	801.532	505	8.421	703064098881096642	703045730832025708	2791	
1	C45H74O6	[M + Na]+	C45H74NaO6+	Fatty acids	1.000	Glycerolipids	1.000	Triacylglycerols	0.994	Lipids and lipid-like molecules	0.996	Glycerolipids	1.000	Triradylcglycerols	0.956	Triacylglycerols	0.953	Triacylglycerols	0.953	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	733.542	507	8.454	703064090769312346	703045730869774449	2792	
4	C46H70O7	[M + Na]+	C46H70NaO7+	Fatty acids	0.864	Glycerolipids	0.976	Triacylglycerols	0.707	Lipids and lipid-like molecules	0.923	Glycerolipids	0.936	Triradylcglycerols	0.861	Triacylglycerols	0.764	Triacylglycerols	0.764	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Triacylglycerols; Carboxylic acid esters; Carbonyl compounds; Tricarboxylic acids and derivatives; Benzene and substituted derivatives; Benzenoids; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	757.506	508	8.468	703064089888508411	703045730949466235	2794	
1	C43H70O5	[M + Na]+	C43H70NaO5+	Terpenoids	0.986	Steroids	0.988	Cholane steroids	0.899	Lipids and lipid-like molecules	0.996	Steroids and steroid derivatives	0.982	Vitamin D and derivatives	0.505			Vitamin D and derivatives	0.505	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Hydroxysteroids; Bile acids, alcohols and derivatives; Vitamin D and derivatives; Secondary alcohols; Steroid esters; Carbonyl compounds; Hydroxy bile acids, alcohols and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	689.516	509	8.478	703064088311449990	703045730911717494	2793	
1	C32H55NO8	[M + H]+	C32H56NO8+	Polyketides	0.733	Linear polyketides	0.825	Open-chain polyketides	0.856	Lipids and lipid-like molecules	0.725	Fatty Acyls	0.514					Fatty Acyls	0.514	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	582.402	511	8.511	703064103876512894	703045731226290319	2798	
1	C37H70O11	[M + Na]+	C37H70NaO11+	Polyketides	0.872	Polyethers	0.316	Macrotetrolides	0.236	Lipids and lipid-like molecules	0.835	Fatty Acyls	0.704	Fatty acid esters	0.675			Fatty acid esters	0.675	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	713.480	511	8.515	703064111480786565	703045731175958666	2797	
1	C33H58O8	[M + H]+	C33H59O8+	Polyketides	0.273	Steroids	0.290	Cholane steroids	0.071	Lipids and lipid-like molecules	0.924	Steroids and steroid derivatives	0.490	Bile acids, alcohols and derivatives	0.529			Bile acids, alcohols and derivatives	0.529	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Bile acids, alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	583.418	512	8.533	703064109102616006	703045731452782750	2801	
1	C30H57N7O4	[M + H]+	C30H58N7O4+	Amino acids and Peptides	0.735	Oligopeptides	0.652	Tripeptides	0.175	Organic acids and derivatives	0.979	Carboxylic acids and derivatives	0.975	Amino acids, peptides, and analogues	0.922	Amino acids and derivatives	0.914	Alpha amino acid amides	0.634	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	580.454	513	8.554	703064109572378086	703045731536668840	2803	
1	C29H48O2	[M + H]+	C29H49O2+	Terpenoids	0.999	Steroids	0.998	Cholestane steroids	0.634	Lipids and lipid-like molecules	0.997	Steroids and steroid derivatives	0.993	Hydroxysteroids	0.741	3-hydroxysteroids	0.616	3-hydroxy delta-5-steroids	0.570	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Steroids and steroid derivatives; Organooxygen compounds; Cyclic alcohols and derivatives; Hydroxysteroids; Secondary alcohols; 3-hydroxy delta-5-steroids; 3-hydroxysteroids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	429.372	514	8.571	703064113057844945	703045731683469495	2810	
1	C44H87N5O8	[M + H]+	C44H88N5O8+	Amino acids and Peptides	0.899	Oligopeptides	0.948	Lipopeptides	0.394	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.951	Peptides	0.556	Peptides	0.556	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	814.661	515	8.580	703064164949775098	703045731838658758	2815	
1	C43H88O12	[M + H]+	C43H89O12+	Polyketides	0.933	Polyethers	0.873	Open-chain polyketides	0.651	Lipids and lipid-like molecules	0.781	Fatty Acyls	0.769	Fatty alcohols	0.622			Fatty alcohols	0.622	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Fatty alcohols; Secondary alcohols; Fatty Acyls; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	797.635	515	8.580	703064161837601444	703045731884796107	2816	
1	C52H82O7	[M + H]+	C52H83O7+	Fatty acids	0.494	Glycerolipids	0.805	Triacylglycerols	0.603	Lipids and lipid-like molecules	0.948	Glycerolipids	0.553	Triradylcglycerols	0.663	Triacylglycerols	0.628	Triacylglycerols	0.628	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Triacylglycerols; Carboxylic acid esters; Fatty alcohols; Carbonyl compounds; Tricarboxylic acids and derivatives; Triradylcglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	819.616	515	8.580	703064159782392406	703045731930933456	2817	
2	C27H36N6O12S	[M + K]+	C27H36KN6O12S+	Amino acids and Peptides	0.816	Oligopeptides	0.873	Linear peptides	0.378	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.969	Amino acids, peptides, and analogues	0.885	Amino acids and derivatives	0.879	N-acyl-alpha amino acids and derivatives	0.842	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Diazines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Glycosylamines; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	707.170	515	8.588	703064556328677242	703045731788327105	2812	
